Batch,Size (Tb)
693,1.184906176
668,1.256285152
667,0.012409856
d814,0.001192576
663,0.271714432
579,0.083391968
660,3.550244448
d804,0.001192512
d805,0.001183648
d806,0.001270656
d807,0.000870944
d808,0.001212448
495,0.309237984
496,0.619881216
490,1.028526656
492,0.052575136
493,0.235992544
692,0.589985824
524,0.309127616
690,0.457542464
d818,0.00200064
697,5.3969496
525,0.285058304
698,4.31563712
699,0.722875712
407,0.199782336
543,0.006606048
405,0.397272032
404,0.215065408
546,0.007668256
547,0.006684768
544,0.004953344
545,0.003656352
548,0.0
549,0.007493792
409,0.005586368
408,0.005497472
453,0.153494528
718,4.5472e-05
717,0.02156304
675,1.250423392
715,0.0006312
713,3.3925384
671,0.12432176
711,1.3931456
576,0.504594464
d813,0.000871104
d811,0.001084064
d810,0.001111264
d817,0.000984224
575,0.518397408
577,2.455993856
420,0.268358592
d819,0.001538528
574,0.511670976
58,0.0
54,6.4e-08
57,0.0
619,7.397054816
414,2.140446592
415,0.005749024
416,0.005580768
412,0.144838176
413,0.269162016
371,1.239284704
370,1.699216032
372,0.888437696
419,0.133528416
539,0.0063392
591,0.923612768
590,0.0
593,0.00155072
592,1.602426688
595,1.080919872
594,0.0
599,0.751957728
706,2.872595008
707,5.574471488
700,1.437059264
494,0.418842176
390,1.465911744
397,0.11651584
396,0.235693952
d809,4.3392e-05
d822,0.001670208
d820,0.00165072
d821,0.001939616
513,0.001634336
535,3.642675584
429,0.005407712
428,0.00583984
527,0.347186848
520,0.849088512
521,0.284822816
522,0.33296112
523,0.309275232
421,0.005368096
367,0.738527904
423,2.735658816
422,0.005914528
425,0.13561584
426,0.269510816
586,1.250142176
530,1.6613608
584,0.001191136
531,2.46572656
581,0.001461376
443,0.006042048
441,0.288086976
440,0.145341184
445,0.005832544
589,0.0
614,1.368209216
387,2.608587616
615,1.369996416
d834,0.0019016
519,0.863223776
518,0.9064784
643,0.123400864
644,1.238697856
438,0.247250368
646,2.046840736
436,4.256668832
510,0.0
434,0.006476544
512,0.0
515,0.084079936
433,0.003685024
517,0.11904768
516,0.120918176
621,0.00397728
578,2.399423456
451,0.48787712
570,0.389059712
454,0.307206144
455,3.419097888
456,0.005911008
457,0.006205344
559,0.028614592
709,4.95137152
542,0.008455584
d848,0.0001264
d844,0.0001264
d845,0.000219328
d846,0.0001264
d847,0.000219296
662,0.131742368
540,0.005341184
d843,0.000219328
657,0.02763136
541,0.007358656
506,0.0
504,0.010360672
502,1.440518912
503,0.0108248
501,0.635313536
569,0.742923264
632,1.101203136
633,1.891131808
634,1.259394176
468,0.191930048
636,1.11986672
637,0.99105264
560,0.805673344
464,0.0
562,0.347860832
563,0.732204704
564,2.232733856
460,0.3506872
608,1.337645952
528,0.68826864
602,0.485882272
712,2.043223424
d850,0.0
FRMT,0.144836736
659,1.898908224
631,0.5430136
151,0.145589696
150,0.144934464
153,0.146064
152,0.144266816
155,0.144814976
154,0.14522288
157,0.14456448
156,0.144678592
555,0.328485376
554,0.303347488
551,0.00813184
550,0.006545536
553,0.291808512
552,0.008333856
checksum.md5,3.68e-06
648,1.844053376
635,1.293467296
641,0.719032832
674,1.412156384
561,2.17979632
676,1.236006016
146,0.143926752
147,0.145617792
618,0.275719744
145,9.6e-07
647,2.1663608
612,1.320088128
613,1.312679072
610,1.264195136
611,1.26737296
617,4.546523296
148,0.143866976
149,0.144005664
649,0.04098784
a2,0.4354264
a7,0.466277664
437,0.239370784
a9,1.153611808
a8,0.941725248
710,5.37629072
483,0.048642912
482,0.628838432
481,0.311670272
480,0.0
435,1.650267008
609,1.3430832
514,6.4729496
473,0.005490272
471,0.006216
685,0.21998096
684,0.00555664
687,0.452084192
686,0.11291792
d816,0.000837248
